"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
5456,VLDB JOURNAL,"2,259",1.973,0.002760
5461,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-APPLIED,"2,196",1.972,0.002710
5461,JOURNAL OF THE ROYAL ANTHROPOLOGICAL INSTITUTE,"1,958",1.972,0.003160
5461,Netherlands Heart Journal,"1,196",1.972,0.001920
5464,AMERICAN JOURNAL OF INFECTION CONTROL,"7,923",1.971,0.015330
5464,Clinical and Experimental Nephrology,"2,432",1.971,0.004250
5464,JOURNAL OF NEUROPSYCHIATRY AND CLINICAL NEUROSCIENCES,"3,615",1.971,0.002540
5467,International Journal of Sediment Research,"1,052",1.970,0.001370
5468,JOURNAL OF ADVERTISING RESEARCH,"2,741",1.969,0.001130
5468,LEISURE SCIENCES,"2,195",1.969,0.000970
5468,Pathogens and Global Health,826,1.969,0.002810
5471,PHYSICS AND CHEMISTRY OF THE EARTH,"4,478",1.968,0.002550
5471,REVISTA DE SAUDE PUBLICA,"4,507",1.968,0.005250
5471,REVISTA DE SAUDE PUBLICA,"4,507",1.968,0.005250
5474,NEW LEFT REVIEW,"2,469",1.967,0.002150
5475,JOURNAL OF ELECTROCERAMICS,"2,799",1.966,0.001310
5475,Journal of Applied Research on Medicinal and Aromatic Plants,276,1.966,0.000570
5475,Journal of Natural Medicines,"1,916",1.966,0.002200
5475,Mathematical Geosciences,"1,053",1.966,0.002060
5475,World Journal of Surgical Oncology,"4,587",1.966,0.009520
5480,CRIME & DELINQUENCY,"2,521",1.965,0.003740
5480,Palliative & Supportive Care,"1,609",1.965,0.003400
5482,HUMAN DEVELOPMENT,"1,565",1.964,0.001050
5482,Physical Review Physics Education Research,365,1.964,0.001280
5482,Physical Review Physics Education Research,365,1.964,0.001280
5482,Topics in Stroke Rehabilitation,"1,620",1.964,0.002100
5486,Journal of Comparative Policy Analysis,706,1.963,0.000820
5486,MANAGEMENT DECISION,"4,550",1.963,0.002410
5486,PHYTOCHEMICAL ANALYSIS,"2,641",1.963,0.001970
5486,Processes,611,1.963,0.001020
5486,REDOX REPORT,"1,478",1.963,0.001310
5491,AMERICAN JOURNAL OF CLINICAL PATHOLOGY,"11,268",1.962,0.009290
5491,AMERICAN JOURNAL OF THE MEDICAL SCIENCES,"5,093",1.962,0.005880
5491,Biology Open,"2,357",1.962,0.009140
5491,CANCER INVESTIGATION,"2,473",1.962,0.002260
5491,Journal of School Violence,706,1.962,0.001090
5491,SPORT EDUCATION AND SOCIETY,"1,694",1.962,0.001770
5491,SPORT EDUCATION AND SOCIETY,"1,694",1.962,0.001770
5498,AVIAN PATHOLOGY,"3,430",1.961,0.002400
5498,Energy Efficiency,"1,365",1.961,0.001900
5498,Energy Efficiency,"1,365",1.961,0.001900
5498,INTERNATIONAL JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY,"7,862",1.961,0.009700
5498,JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES,"3,422",1.961,0.011530
5498,JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,"2,335",1.961,0.001320
5498,OPTICS COMMUNICATIONS,"22,968",1.961,0.020700
5498,RESEARCH IN HIGHER EDUCATION,"3,213",1.961,0.002520
5498,SCIENTIA HORTICULTURAE,"14,351",1.961,0.014710
5507,BIOLOGICALS,"1,511",1.960,0.002330
5507,DECISION SCIENCES,"4,038",1.960,0.001840
5509,ENVIRONMENTAL MONITORING AND ASSESSMENT,"18,778",1.959,0.019720
5509,FEBS Open Bio,"1,433",1.959,0.004320
5509,Health Economics Policy and Law,529,1.959,0.001140
5509,SURGICAL CLINICS OF NORTH AMERICA,"3,335",1.959,0.003500
5513,INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW,"2,095",1.958,0.002470
5513,INTERNATIONAL JOURNAL OF OBSTETRIC ANESTHESIA,"1,517",1.958,0.001550
5513,International Political Sociology,850,1.958,0.001970
5513,Parasite,"1,530",1.958,0.002700
5513,SOIL USE AND MANAGEMENT,"2,958",1.958,0.002130
5518,CHILDHOOD-A GLOBAL JOURNAL OF CHILD RESEARCH,"1,406",1.957,0.001200
5518,EUROPEAN ADDICTION RESEARCH,"1,146",1.957,0.002110
5518,EUROPEAN ADDICTION RESEARCH,"1,146",1.957,0.002110
5518,NURSING ETHICS,"2,162",1.957,0.002180
5518,NURSING ETHICS,"2,162",1.957,0.002180
5518,Photonics and Nanostructures-Fundamentals and Applications,832,1.957,0.001330
5518,WOMENS HEALTH ISSUES,"2,157",1.957,0.005380
5525,INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS,"1,123",1.956,0.001230
5525,MULTIMEDIA SYSTEMS,851,1.956,0.001140
5525,RESEARCH ON LANGUAGE AND SOCIAL INTERACTION,"1,324",1.956,0.001680
5525,TRANSACTIONS OF THE INSTITUTE OF MEASUREMENT AND CONTROL,"1,815",1.956,0.002030
5529,EDUCATIONAL POLICY,"1,064",1.955,0.001640
5529,GEOGRAPHICAL ANALYSIS,"2,809",1.955,0.001220
5529,INTERNATIONAL JOURNAL OF BEHAVIORAL MEDICINE,"2,564",1.955,0.004210
5529,JOURNAL OF CULTURAL HERITAGE,"3,219",1.955,0.002950
5533,JOURNAL OF STORED PRODUCTS RESEARCH,"3,150",1.954,0.002120
5533,RIVER RESEARCH AND APPLICATIONS,"4,330",1.954,0.004880
5535,Advances in High Energy Physics,"1,625",1.953,0.004990
5535,NUMERICAL HEAT TRANSFER PART A-APPLICATIONS,"3,313",1.953,0.003710
5537,AMERICAN JOURNAL OF OCCUPATIONAL THERAPY,"4,281",1.952,0.003020
5537,COMPARATIVE EDUCATION REVIEW,"1,196",1.952,0.001350
5537,METALLURGICAL AND MATERIALS TRANSACTIONS B-PROCESS METALLURGY AND MATERIALS PROCESSING SCIENCE,"8,885",1.952,0.007950
5537,MINERVA,"1,081",1.952,0.000890
5537,QUATERNARY INTERNATIONAL,"16,042",1.952,0.027710
5542,AIAA JOURNAL,"20,946",1.951,0.014020
5542,Consumption Markets & Culture,870,1.951,0.001010
5544,BioChip Journal,420,1.950,0.000720
5544,MEMORY & COGNITION,"8,140",1.950,0.007750
5546,GEOLOGICAL JOURNAL,"2,062",1.949,0.002460
5546,JOURNAL OF ECONOMETRICS,"17,509",1.949,0.023680
5546,JOURNAL OF ECONOMETRICS,"17,509",1.949,0.023680
5546,SOCIETY & NATURAL RESOURCES,"3,638",1.949,0.003850
5550,Journal of Wound Care,"2,205",1.948,0.002840
5550,Rangeland Ecology & Management,"2,126",1.948,0.002480
5552,BMC Cardiovascular Disorders,"3,243",1.947,0.008320
5552,JOURNAL OF CELLULAR PLASTICS,993,1.947,0.000660
5552,JOURNAL OF POROUS MATERIALS,"2,851",1.947,0.003060
5555,AMERICAN JOURNAL ON ADDICTIONS,"2,657",1.946,0.004540
5555,Applied Psychology-Health and Well Being,757,1.946,0.001420
5555,COLLEGE & RESEARCH LIBRARIES,"1,075",1.946,0.001250
5555,DRUG AND CHEMICAL TOXICOLOGY,"1,382",1.946,0.001590
5555,ENERGY EXPLORATION & EXPLOITATION,719,1.946,0.000890
5555,IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS,"5,703",1.946,0.011050
5555,POSTGRADUATE MEDICAL JOURNAL,"5,546",1.946,0.004420
5555,SCIENTIFIC AMERICAN,"6,609",1.946,0.003540
5563,BIOELECTROMAGNETICS,"2,751",1.945,0.001900
5563,MICROSURGERY,"3,063",1.945,0.003980
5565,JOURNAL OF REGIONAL SCIENCE,"2,420",1.944,0.002180
5566,Global Public Health,"1,598",1.943,0.004210
5566,Journal of Nutrigenetics and Nutrigenomics,348,1.943,0.000640
5568,JOURNAL OF CRANIO-MAXILLOFACIAL SURGERY,"5,649",1.942,0.010350
5568,Molecular Imaging,"1,078",1.942,0.001190
5568,READING AND WRITING,"2,992",1.942,0.004320
5568,Review of Finance,"1,925",1.942,0.009990
5568,Social Anthropology,691,1.942,0.000700
5573,JOURNAL OF INTELLECTUAL DISABILITY RESEARCH,"5,114",1.941,0.004760
5573,Journal of Legal Analysis,222,1.941,0.000480
5575,ENDOCRINE JOURNAL,"3,716",1.940,0.004400
5575,Electronic Commerce Research,586,1.940,0.000580
5575,GEO-MARINE LETTERS,"1,806",1.940,0.001510
5575,JOURNAL OF MATHEMATICAL BIOLOGY,"5,034",1.940,0.006180
5575,MULTISCALE MODELING & SIMULATION,"2,485",1.940,0.004860
5575,Romanian Reports in Physics,"1,439",1.940,0.002420
5575,THEORETICAL AND COMPUTATIONAL FLUID DYNAMICS,"1,201",1.940,0.001470
5582,BRITISH JOURNAL OF RADIOLOGY,"9,657",1.939,0.011070
5582,CELL AND TISSUE BANKING,"1,127",1.939,0.001710
5582,International Journal of Applied Mechanics,"1,327",1.939,0.002360
5582,JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY,"2,139",1.939,0.002510
5582,VECTOR-BORNE AND ZOONOTIC DISEASES,"3,686",1.939,0.005990
5587,Applied Economic Perspectives and Policy,672,1.938,0.001700
5587,Applied Economic Perspectives and Policy,672,1.938,0.001700
5587,International Journal of Rheumatic Diseases,"2,276",1.938,0.005410
5587,JOURNAL OF DIFFERENTIAL EQUATIONS,"14,837",1.938,0.039920
5587,MATERIALS SCIENCE AND TECHNOLOGY,"7,422",1.938,0.006800
5592,ENGINEERING IN LIFE SCIENCES,"2,333",1.936,0.002720
5593,ANTICANCER RESEARCH,"19,809",1.935,0.021840
5593,JOURNAL OF HUMAN HYPERTENSION,"4,381",1.935,0.005560
5593,MANAGEMENT LEARNING,"1,642",1.935,0.000930
5593,MRS Communications,974,1.935,0.003020
5593,TRANSPORTATION JOURNAL,602,1.935,0.000310
5598,ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY,"6,020",1.934,0.007910
5598,PERITONEAL DIALYSIS INTERNATIONAL,"2,928",1.934,0.002790
5600,Andean Geology,384,1.933,0.000760
5600,ENVIRONMENTAL VALUES,987,1.933,0.000830
5602,ANNALES SCIENTIFIQUES DE L ECOLE NORMALE SUPERIEURE,"2,715",1.932,0.008410
5602,Asian Journal of Psychiatry,"1,483",1.932,0.003140
5602,BMC HEALTH SERVICES RESEARCH,"15,675",1.932,0.036690
5602,COGNITIVE AND BEHAVIORAL PRACTICE,"1,633",1.932,0.002490
5606,AEROBIOLOGIA,"1,299",1.931,0.001380
5606,BIOCHEMICAL GENETICS,"1,179",1.931,0.000960
5606,Interactive Cardiovascular and Thoracic Surgery,"5,544",1.931,0.010010
5606,QUARTERLY JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,"1,037",1.931,0.001290
5606,SOFTWARE-PRACTICE & EXPERIENCE,"1,900",1.931,0.001470
5611,BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,"1,976",1.930,0.004090
5611,BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,"1,976",1.930,0.004090
5611,SYSTEM,"2,993",1.930,0.003390
5614,Discovery Medicine,"1,705",1.929,0.002910
5614,INTERACTIVE LEARNING ENVIRONMENTS,"1,012",1.929,0.001450
5614,JOURNAL OF VIBRATION AND ACOUSTICS-TRANSACTIONS OF THE ASME,"3,923",1.929,0.004180
5617,CARDIOVASCULAR AND INTERVENTIONAL RADIOLOGY,"5,219",1.928,0.007850
5617,HUMAN MOVEMENT SCIENCE,"4,836",1.928,0.006030
5617,HUMAN MOVEMENT SCIENCE,"4,836",1.928,0.006030
5617,INFORMATICA,648,1.928,0.000620
5617,ONLINE INFORMATION REVIEW,"1,540",1.928,0.001520
5617,ONLINE INFORMATION REVIEW,"1,540",1.928,0.001520
5623,CHIRALITY,"3,220",1.927,0.003110
5623,EXPERIMENTAL AND CLINICAL ENDOCRINOLOGY & DIABETES,"2,698",1.927,0.002990
5623,IEEE TRANSACTIONS ON NANOBIOSCIENCE,"1,450",1.927,0.002640
5623,International Journal of the Commons,762,1.927,0.001390
5623,Policy and Internet,468,1.927,0.001200
5628,JOURNAL OF MEDICAL MICROBIOLOGY,"9,495",1.926,0.009830
5628,Psychology of Men & Masculinity,"1,665",1.926,0.002720
5630,ACTA SOCIOLOGICA,"1,146",1.925,0.001130
5630,IET Nanobiotechnology,890,1.925,0.001000
5630,NONPROFIT AND VOLUNTARY SECTOR QUARTERLY,"3,347",1.925,0.002690
5633,Men and Masculinities,"1,226",1.923,0.001660
5634,CIRCUITS SYSTEMS AND SIGNAL PROCESSING,"2,844",1.922,0.004810
5634,EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,"2,548",1.922,0.003270
5634,EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,"2,548",1.922,0.003270
5634,GENES TO CELLS,"3,980",1.922,0.004540
5634,Gland Surgery,772,1.922,0.002410
5634,INTERNATIONAL JOURNAL OF PRIMATOLOGY,"3,129",1.922,0.002020
5634,International Journal of Educational Technology in Higher Education,177,1.922,0.000210
5634,JOURNAL OF PHARMACY AND PHARMACEUTICAL SCIENCES,"2,062",1.922,0.001560
5634,MICROBIOLOGY-SGM,"18,070",1.922,0.010340
5643,FINANCE AND STOCHASTICS,"1,288",1.921,0.003440
5643,FINANCE AND STOCHASTICS,"1,288",1.921,0.003440
5643,Surgical Infections,"2,018",1.921,0.004280
5646,POLYMER ENGINEERING AND SCIENCE,"11,042",1.920,0.004890
5647,AGING NEUROPSYCHOLOGY AND COGNITION,"1,196",1.919,0.001660
5647,JOURNAL OF MOLECULAR RECOGNITION,"2,257",1.919,0.001920
5647,VETERINARY JOURNAL,"8,174",1.919,0.011520
5650,CHILD CARE HEALTH AND DEVELOPMENT,"3,675",1.918,0.004890
5650,CHILD CARE HEALTH AND DEVELOPMENT,"3,675",1.918,0.004890
5650,ENVIRONMENTAL TECHNOLOGY,"7,039",1.918,0.006860
5653,BIOMEDICAL AND ENVIRONMENTAL SCIENCES,"2,130",1.917,0.002660
5653,IMF Economic Review,626,1.917,0.003300
5653,JOURNAL OF BROADCASTING & ELECTRONIC MEDIA,"2,230",1.917,0.001890
5653,Nonprofit Management & Leadership,"1,179",1.917,0.000700
5657,Current Opinion in Supportive and Palliative Care,"1,052",1.916,0.002700
5658,Impact Assessment and Project Appraisal,"1,014",1.915,0.000890
5658,International Public Management Journal,"1,050",1.915,0.001600
5660,Inland Waters,606,1.914,0.001540
5660,OPTIK,"13,520",1.914,0.018660
5662,HEALTH PROMOTION INTERNATIONAL,"3,296",1.913,0.003800
5662,HEALTH PROMOTION INTERNATIONAL,"3,296",1.913,0.003800
5662,JOURNAL OF FLUORESCENCE,"4,053",1.913,0.003680
5662,JOURNAL OF IMMUNOLOGICAL METHODS,"11,710",1.913,0.007870
5662,NEPHROLOGY,"3,154",1.913,0.005240
5662,PHOTOMEDICINE AND LASER SURGERY,"2,655",1.913,0.002370
5662,PHYSICS OF PLASMAS,"30,701",1.913,0.041370
5669,SIAM JOURNAL ON MATRIX ANALYSIS AND APPLICATIONS,"4,948",1.912,0.009140
5669,WOOD SCIENCE AND TECHNOLOGY,"3,754",1.912,0.002520
5671,AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,"13,100",1.911,0.006700
5671,AUSTRALIAN AND NEW ZEALAND JOURNAL OF PUBLIC HEALTH,"3,308",1.911,0.004520
5671,AUSTRALIAN AND NEW ZEALAND JOURNAL OF PUBLIC HEALTH,"3,308",1.911,0.004520
5671,CHINESE JOURNAL OF CHEMICAL ENGINEERING,"3,775",1.911,0.004280
5675,DIABETES EDUCATOR,"2,148",1.910,0.002630
5675,DIABETES EDUCATOR,"2,148",1.910,0.002630
5675,Health Security,277,1.910,0.001100
5675,Journal of Ambient Intelligence and Humanized Computing,861,1.910,0.000890
5679,AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,"5,505",1.908,0.005860
5679,BEHAVIOURAL NEUROLOGY,"1,340",1.908,0.002430
5679,JOURNAL OF HYDROINFORMATICS,"1,700",1.908,0.001970
5682,Chinese Optics Letters,"2,616",1.907,0.003970
5682,JOURNAL OF MEDICAL ENTOMOLOGY,"8,740",1.907,0.007290
5682,JOURNAL OF REHABILITATION MEDICINE,"5,154",1.907,0.005280
5682,Journal of Orthopaedic Surgery and Research,"2,262",1.907,0.005840
5686,COLLOID AND POLYMER SCIENCE,"7,291",1.906,0.006410
5686,COMPUTATIONAL OPTIMIZATION AND APPLICATIONS,"2,485",1.906,0.006270
5686,JOURNAL OF ELASTICITY,"2,340",1.906,0.002490
5689,Journal of Choice Modelling,448,1.905,0.000960
5689,STEREOTACTIC AND FUNCTIONAL NEUROSURGERY,"1,807",1.905,0.002220
5691,European Journal of Remote Sensing,644,1.904,0.001220
5691,Marine Genomics,948,1.904,0.002510
5693,AMERICAN JOURNAL OF INDUSTRIAL MEDICINE,"5,681",1.902,0.006010
5693,JOURNAL OF THERMAL BIOLOGY,"3,766",1.902,0.004300
5693,Journal of Financial Econometrics,"1,012",1.902,0.002310
5693,Landscape Research,"1,263",1.902,0.001250
5693,PM&R,"3,023",1.902,0.005970
5693,Spatial Economic Analysis,567,1.902,0.000880
5693,XENOBIOTICA,"3,486",1.902,0.002900
5700,CHEMICAL PHYSICS LETTERS,"48,638",1.901,0.023450
5700,Energy Sustainability and Society,469,1.901,0.000860
5700,European Journal of Wood and Wood Products,"1,576",1.901,0.002430
5700,Journal of Trauma & Dissociation,910,1.901,0.001290
5704,ACM TRANSACTIONS ON DATABASE SYSTEMS,"1,290",1.900,0.001210
5704,NEW YORK UNIVERSITY LAW REVIEW,"2,021",1.900,0.002940
5704,THEORY AND SOCIETY,"2,756",1.900,0.001830
5704,TRANSFUSION MEDICINE,"1,332",1.900,0.002000
5708,International Neurourology Journal,537,1.899,0.001330
5708,LANGUAGE,"4,007",1.899,0.002020
5710,AMERICAN JOURNAL OF ORTHOPSYCHIATRY,"4,528",1.898,0.003550
5710,SPINAL CORD,"5,874",1.898,0.005740
5712,JCR-JOURNAL OF CLINICAL RHEUMATOLOGY,"1,674",1.897,0.002470
5713,AGEING & SOCIETY,"3,338",1.895,0.003450
5713,APPLIED MATHEMATICS AND OPTIMIZATION,"1,396",1.895,0.002920
5713,ARCHIVES OF MEDICAL RESEARCH,"3,229",1.895,0.003380
5713,Annals of Hepatology,"1,794",1.895,0.003480
5713,Frontiers in Physics,756,1.895,0.003090
5713,Heart Failure Clinics,903,1.895,0.001840
5713,IET Science Measurement & Technology,"1,265",1.895,0.002660
5720,CANCER BIOTHERAPY AND RADIOPHARMACEUTICALS,"1,562",1.894,0.001590
5720,Journal of the Chinese Medical Association,"1,810",1.894,0.002270
5720,Signal Image and Video Processing,"2,009",1.894,0.003430
5723,ANNALS OF CLINICAL BIOCHEMISTRY,"3,059",1.893,0.002940
5724,International Journal of Polymer Science,"1,670",1.892,0.002760
5724,SKIN PHARMACOLOGY AND PHYSIOLOGY,"1,628",1.892,0.001150
5724,Sexuality Research and Social Policy,907,1.892,0.001650
5727,Journal of Family Nursing,777,1.891,0.000790
5727,Journal of Family Nursing,777,1.891,0.000790
5729,Journal of Contextual Behavioral Science,474,1.890,0.001360
5730,Computers and Concrete,"1,157",1.889,0.001430
5730,Journal of Integrative Environmental Sciences,254,1.889,0.000430
5730,Tobacco Induced Diseases,526,1.889,0.001410
5730,Tobacco Induced Diseases,526,1.889,0.001410
5734,Environmental Policy and Governance,919,1.888,0.001280
5734,THIN SOLID FILMS,"39,892",1.888,0.022040
5736,Aquaculture Reports,279,1.887,0.000740
5737,BIOCHEMISTRY-MOSCOW,"4,154",1.886,0.004530
5737,EPL,"22,643",1.886,0.032610
5737,JOURNAL OF LITERACY RESEARCH,704,1.886,0.000930
5737,MATERIALES DE CONSTRUCCION,825,1.886,0.000820
5737,MEDIA CULTURE & SOCIETY,"2,290",1.886,0.003330
5742,CURRENT PROTEIN & PEPTIDE SCIENCE,"2,636",1.885,0.002910
5742,JOURNAL OF MEDICAL ECONOMICS,"1,985",1.885,0.005000
5742,JOURNAL OF THE AMERICAN ACADEMY OF PSYCHIATRY AND THE LAW,"1,206",1.885,0.001290
5742,Service Science,387,1.885,0.000590
5742,Structural Concrete,"1,049",1.885,0.001980
5742,WATER INTERNATIONAL,"1,847",1.885,0.001900
5748,DIGESTIVE SURGERY,"2,076",1.884,0.002610
5748,Journal of Industrial Textiles,"1,128",1.884,0.001530
5750,BRITISH JOURNAL OF SOCIOLOGY OF EDUCATION,"2,161",1.883,0.002660
5750,JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS,"15,058",1.883,0.020150
5750,Journal of Neurosurgical Sciences,833,1.883,0.001270
5753,China Communications,"1,797",1.882,0.003560
5753,GEOARCHAEOLOGY-AN INTERNATIONAL JOURNAL,"1,100",1.882,0.001080
5753,HOUSING STUDIES,"2,243",1.882,0.002810
5753,JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA,"5,098",1.882,0.006650
5753,JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY,"4,992",1.882,0.003930
5753,JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS,"4,069",1.882,0.009220
5753,PSYCHOLOGY & MARKETING,"5,367",1.882,0.003550
5753,ROFO-FORTSCHRITTE AUF DEM GEBIET DER RONTGENSTRAHLEN UND DER BILDGEBENDEN VERFAHREN,"1,435",1.882,0.002170
5761,Electronic Materials Letters,"1,271",1.881,0.002190
5761,JOURNAL OF WILDLIFE MANAGEMENT,"11,095",1.881,0.005770
5761,PACKAGING TECHNOLOGY AND SCIENCE,"1,578",1.881,0.001110
5764,ACADEMIC PSYCHIATRY,"1,425",1.880,0.002330
5764,ANGLE ORTHODONTIST,"6,075",1.880,0.004630
5764,Business Process Management Journal,"1,825",1.880,0.000730
5764,JOURNAL OF WOOD CHEMISTRY AND TECHNOLOGY,"1,059",1.880,0.000830
5764,Reproductive Biology,805,1.880,0.001440
5769,Brazilian Journal of Physical Therapy,"1,472",1.879,0.001900
5769,COMPUTING IN SCIENCE & ENGINEERING,"4,372",1.879,0.003710
5769,Islets,607,1.879,0.000960
5769,Journal of Zhejiang University-SCIENCE B,"2,673",1.879,0.003050
5773,Acta Crystallographica A-Foundation and Advances,"12,533",1.878,0.004520
5773,EXPERIMENTAL BRAIN RESEARCH,"21,880",1.878,0.014760
5775,Cooperation and Conflict,800,1.877,0.001500
5776,EUROPEAN CYTOKINE NETWORK,"1,138",1.875,0.000620
5776,GAIA-Ecological Perspectives for Science and Society,797,1.875,0.000730
5776,GAIA-Ecological Perspectives for Science and Society,797,1.875,0.000730
5776,JOURNAL OF ADHESIVE DENTISTRY,"1,692",1.875,0.001950
5776,JOURNAL OF THEORETICAL BIOLOGY,"20,603",1.875,0.018150
5776,RADIOLOGIC CLINICS OF NORTH AMERICA,"2,298",1.875,0.001970
5776,STRESS AND HEALTH,"1,691",1.875,0.002790
5776,STRESS AND HEALTH,"1,691",1.875,0.002790
5784,Drug Metabolism and Pharmacokinetics,"1,772",1.874,0.001960
5784,PHYSICA B-CONDENSED MATTER,"17,839",1.874,0.010620
5784,PHYSICIAN AND SPORTSMEDICINE,"1,317",1.874,0.001980
5784,SURGEON-JOURNAL OF THE ROYAL COLLEGES OF SURGEONS OF EDINBURGH AND IRELAND,"1,261",1.874,0.002110
5788,CARBOHYDRATE RESEARCH,"15,274",1.873,0.006140
5788,European Journal of Environmental and Civil Engineering,953,1.873,0.001930
5788,PHYSIOLOGICAL AND BIOCHEMICAL ZOOLOGY,"3,074",1.873,0.003130
5788,PSYCHIATRY-INTERPERSONAL AND BIOLOGICAL PROCESSES,"2,190",1.873,0.001570
5788,PSYCHIATRY-INTERPERSONAL AND BIOLOGICAL PROCESSES,"2,190",1.873,0.001570
5793,ACM Transactions on Modeling and Computer Simulation,813,1.872,0.001180
5793,JOURNAL OF SURGICAL RESEARCH,"13,406",1.872,0.023120
5793,OR SPECTRUM,"1,679",1.872,0.001700
5793,RESEARCH IN DEVELOPMENTAL DISABILITIES,"7,158",1.872,0.013300
5797,COMPARATIVE IMMUNOLOGY MICROBIOLOGY AND INFECTIOUS DISEASES,"1,609",1.871,0.002040
5797,Environmental Earth Sciences,"14,093",1.871,0.025890
5797,INTERNATIONAL JOURNAL OF OFFENDER THERAPY AND COMPARATIVE CRIMINOLOGY,"2,268",1.871,0.002700
5797,Oncology Letters,"12,978",1.871,0.027690
5801,BMC Medical Education,"4,585",1.870,0.010150
5801,BMC Medical Education,"4,585",1.870,0.010150
5801,Colloid and Interface Science Communications,265,1.870,0.000510
5801,Health Promotion and Chronic Disease Prevention in Canada-Research Policy and Practice,230,1.870,0.000710
5801,International Journal of Stem Cells,428,1.870,0.000830
5801,Journal of Computing in Higher Education,362,1.870,0.000450
5801,MEDICINE,"25,611",1.870,0.067080
5801,Moravian Geographical Reports,287,1.870,0.000380
5801,RURAL SOCIOLOGY,"1,813",1.870,0.001160
5810,CLINICS IN LABORATORY MEDICINE,"1,281",1.869,0.002390
5810,OCEAN DYNAMICS,"2,643",1.869,0.004860
5812,JOURNAL OF ALTERNATIVE AND COMPLEMENTARY MEDICINE,"4,286",1.868,0.003350
5812,Mires and Peat,437,1.868,0.000660
5814,COMPTES RENDUS BIOLOGIES,"2,455",1.867,0.001890
5814,IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,"2,850",1.867,0.001640
5814,IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,"2,850",1.867,0.001640
5814,Journal of Contemporary China,"1,389",1.867,0.002790
5814,Oil & Gas Science and Technology-Revue d IFP Energies nouvelles,"1,875",1.867,0.001440
5819,CORROSION,"5,846",1.865,0.003340
5819,International Journal of Hypertension,768,1.865,0.001120
5819,JOURNAL OF PSYCHOACTIVE DRUGS,"1,848",1.865,0.002240
5819,Journal of Vacation Marketing,"1,425",1.865,0.000570
5819,PACIFIC REVIEW,805,1.865,0.001370
5824,Review of Policy Research,980,1.864,0.001310
5825,APPLIED IMMUNOHISTOCHEMISTRY & MOLECULAR MORPHOLOGY,"1,888",1.863,0.003170
5825,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,"7,117",1.863,0.003930
5827,Current Oncology,"2,236",1.862,0.004590
5827,MOLECULAR BREEDING,"5,159",1.862,0.007070
5827,Methods in Enzymology,"24,871",1.862,0.019180
5827,Tree Genetics & Genomes,"2,499",1.862,0.004640
5831,JOURNAL OF THE OPTICAL SOCIETY OF AMERICA A-OPTICS IMAGE SCIENCE AND VISION,"14,988",1.861,0.009400
5831,MEASUREMENT SCIENCE and TECHNOLOGY,"13,872",1.861,0.013200
5831,UROLOGY,"20,252",1.861,0.020370
5831,VIBRATIONAL SPECTROSCOPY,"4,244",1.861,0.003000
5835,IEEE Transactions on Components Packaging and Manufacturing Technology,"5,550",1.860,0.006560
5835,INFORMATION SOCIETY,"1,346",1.860,0.001040
5835,INTERNATIONAL JOURNAL OF CARDIOVASCULAR IMAGING,"2,949",1.860,0.006790
5835,JOURNAL OF NONVERBAL BEHAVIOR,"1,596",1.860,0.001260
5839,JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK,"6,139",1.859,0.015290
5839,JOURNAL OF NERVOUS AND MENTAL DISEASE,"8,182",1.859,0.007030
5839,JOURNAL OF NERVOUS AND MENTAL DISEASE,"8,182",1.859,0.007030
5839,MARINE AND FRESHWATER RESEARCH,"5,121",1.859,0.005200
5839,Materials Today Communications,534,1.859,0.001000
